Year,Value
1961,15400
1962,14900
1963,14300
1964,14600
1965,15900
1966,18900
1967,19000
1968,18900
1969,18700
1970,18400
1971,19400
1972,21500
1973,23100
1974,27800
1975,31800
1976,33600
1977,34900
1978,31000
1979,20100
1980,26200
1981,35170
1982,28080
1983,31400
1984,33700
1985,36000
1986,38900
1987,38400
1988,39000
1989,39000
1990,39000
1991,35900
1992,37700
1993,41500
1994,42600
1995,43700
1996,45200
1997,45000
1998,46000
1999,50000
2000,52000
2001,52400
2002,56000
2003,50200
2004,46700
2005,45800
2006,48800
2007,52400
2008,54000
2009,51600
2010,55800
2011,54300
2012,54600
2013,56000
2014,58000
2015,59300
2016,59300
2017,52000
2018,51500
2019,44700
2020,49400
2021,49900
2022,50490
2023,49843.15
