Domain,Area,Element,Item,Year,Value
"Crops and livestock products","Tunisia","Stocks","Sheep","1961","5116000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1962","4800000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1963","5100000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1964","5600000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1965","5600000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1966","6050000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1967","5200000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1968","4520000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1969","5115000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1970","4750000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1971","5245000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1972","5710000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1973","5968000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1974","6242000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1975","6523000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1976","5978000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1977","6061000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1978","5139800"
"Crops and livestock products","Tunisia","Stocks","Sheep","1979","4251000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1980","4967000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1981","4734000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1982","5104800"
"Crops and livestock products","Tunisia","Stocks","Sheep","1983","5190000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1984","5561000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1985","5846000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1986","5409000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1987","5707000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1988","5580700"
"Crops and livestock products","Tunisia","Stocks","Sheep","1989","5547500"
"Crops and livestock products","Tunisia","Stocks","Sheep","1990","5966300"
"Crops and livestock products","Tunisia","Stocks","Sheep","1991","6290000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1992","6400000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1993","7109830"
"Crops and livestock products","Tunisia","Stocks","Sheep","1994","6137100"
"Crops and livestock products","Tunisia","Stocks","Sheep","1995","6221500"
"Crops and livestock products","Tunisia","Stocks","Sheep","1996","6818000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1997","6292990"
"Crops and livestock products","Tunisia","Stocks","Sheep","1998","6544000"
"Crops and livestock products","Tunisia","Stocks","Sheep","1999","6576200"
"Crops and livestock products","Tunisia","Stocks","Sheep","2000","6926250"
"Crops and livestock products","Tunisia","Stocks","Sheep","2001","6860570"
"Crops and livestock products","Tunisia","Stocks","Sheep","2002","6833000"
"Crops and livestock products","Tunisia","Stocks","Sheep","2003","6613200"
"Crops and livestock products","Tunisia","Stocks","Sheep","2004","6948660"
"Crops and livestock products","Tunisia","Stocks","Sheep","2005","7213390"
"Crops and livestock products","Tunisia","Stocks","Sheep","2006","7483790"
"Crops and livestock products","Tunisia","Stocks","Sheep","2007","7618350"
"Crops and livestock products","Tunisia","Stocks","Sheep","2008","7300940"
"Crops and livestock products","Tunisia","Stocks","Sheep","2009","7361620"
"Crops and livestock products","Tunisia","Stocks","Sheep","2010","7234070"
"Crops and livestock products","Tunisia","Stocks","Sheep","2011","6998630"
"Crops and livestock products","Tunisia","Stocks","Sheep","2012","6802420"
"Crops and livestock products","Tunisia","Stocks","Sheep","2013","6855520"
"Crops and livestock products","Tunisia","Stocks","Sheep","2014","6805700"
"Crops and livestock products","Tunisia","Stocks","Sheep","2015","6485600"
"Crops and livestock products","Tunisia","Stocks","Sheep","2016","6406100"
"Crops and livestock products","Tunisia","Stocks","Sheep","2017","6406100"
"Crops and livestock products","Tunisia","Stocks","Sheep","2018","6470000"
"Crops and livestock products","Tunisia","Stocks","Sheep","2019","6490321"
"Crops and livestock products","Tunisia","Stocks","Sheep","2020","6354202"
"Crops and livestock products","Tunisia","Stocks","Sheep","2021","6216371"
"Crops and livestock products","Tunisia","Stocks","Sheep","2022","6138585"
"Crops and livestock products","Tunisia","Stocks","Sheep","2023","6236386"
